,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
745,41180,"St. Louis, MO-IL",4,MO,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1880,6.1,1.433,1.33,0,0,42.24,87850,1.3,22.85,30.65,39.17,50.94,63.04,47520,63750,81460,105960,131110,0,0
746,41420,"Salem, OR",4,OR,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,9.9,0.452,0.42,0,0,44.22,91970,2.7,27.75,32.52,43.37,51.68,60.86,57710,67640,90220,107490,126580,0,0
747,41500,"Salinas, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,15.4,0.263,0.24,0,0,48.81,101530,11.1,22.98,31.13,40.65,58.79,83.29,47790,64760,84560,122270,173240,0,0
748,41620,"Salt Lake City, UT",4,UT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1710,10.8,2.192,2.03,0,0,43.63,90750,3.5,24.26,30.21,39.57,52.42,66.25,50460,62840,82300,109040,137800,0,0
749,41700,"San Antonio-New Braunfels, TX",4,TX,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,760,4,0.725,0.67,0,0,49.77,103520,1.5,24.88,35.31,48.04,62.08,76.96,51740,73450,99930,129120,160070,0,0
750,41740,"San Diego-Carlsbad, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2020,8,1.358,1.26,0,0,61.09,127070,2.9,32.23,44.23,59.41,75.09,86.55,67030,91990,123570,156180,180030,0,0
751,41860,"San Francisco-Oakland-Hayward, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,8890,5.7,3.717,3.44,0,0,73.12,152080,2.4,33.65,47.43,66.19,84.41,109.95,70000,98660,137680,175580,228700,0,0
752,41940,"San Jose-Sunnyvale-Santa Clara, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,4940,2.9,4.402,4.08,0,0,112.17,233320,2.4,44.92,64.61,82.74,0,0,93430,134380,172110,0,0,0,0
753,41980,"San Juan-Carolina-Caguas, PR",4,PR,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,26.9,0.067,0.06,0,0,29.21,60760,7.5,19.75,26.5,26.5,32.2,38.72,41090,55120,55120,66980,80550,0,0
754,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,8,0.65,0.6,0,0,52.11,108380,5.9,27.14,30.21,42.28,67.96,79.42,56460,62830,87940,141360,165190,0,0
755,42100,"Santa Cruz-Watsonville, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,7.7,0.854,0.79,0,0,55.07,114540,3.2,29.2,39.21,50.32,66.08,92.65,60740,81550,104660,137440,192710,0,0
756,42200,"Santa Maria-Santa Barbara, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,190,4.2,0.941,0.87,0,0,61.96,128880,6.2,28.79,37.72,53.87,74.97,91.43,59890,78460,112050,155950,190170,0,0
757,42220,"Santa Rosa, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,110,20,0.523,0.48,0,0,58.32,121310,6.6,30.28,40.65,58.92,72.36,96.03,62980,84550,122560,150500,199730,0,0
758,42340,"Savannah, GA",4,GA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,110,4.8,0.599,0.55,0,0,38.9,80920,2.6,23.01,29.21,36.33,46.89,59.51,47860,60750,75560,97520,123780,0,0
759,42540,"Scranton--Wilkes-Barre--Hazleton, PA",4,PA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,100,11.6,0.403,0.37,0,0,37.95,78940,4.2,21.18,28.14,37.03,48.44,58.06,44050,58520,77020,100760,120760,0,0
760,42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3610,9.5,1.774,1.64,0,0,68.66,142810,5.1,31.88,47.72,67.58,83.96,100.18,66300,99250,140560,174640,208380,0,0
761,43100,"Sheboygan, WI",4,WI,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,17.8,0.527,0.49,0,0,43.21,89880,1.9,29.47,29.94,41.55,60.48,63.75,61290,62270,86420,125790,132590,0,0
762,43420,"Sierra Vista-Douglas, AZ",4,AZ,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,44.33,92210,11.3,28.36,39.27,45.52,49.49,53.47,58990,81690,94690,102940,111220,0,0
763,43620,"Sioux Falls, SD",4,SD,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,14.4,0.509,0.47,0,0,49.23,102400,4,34.03,41.02,52.07,57.63,62.44,70780,85330,108310,119870,129870,0,0
764,43780,"South Bend-Mishawaka, IN-MI",4,IN,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,130,5.7,0.993,0.92,0,0,37,76950,3.4,21.38,27.79,35.71,46.85,51.99,44460,57800,74270,97450,108130,0,0
765,43900,"Spartanburg, SC",4,SC,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,16.8,0.388,0.36,0,0,44.18,91890,3.8,30.68,35.31,41.34,50.94,60.31,63820,73430,85980,105960,125440,0,0
766,44060,"Spokane-Spokane Valley, WA",4,WA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,100,13.3,0.397,0.37,0,0,63.52,132120,8.3,35.58,43.36,61.76,76.59,98.45,74000,90200,128450,159300,204780,0,0
767,44100,"Springfield, IL",4,IL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,8,0.364,0.34,0,0,44.31,92160,2.3,27.93,32.68,42.27,49.73,63.03,58100,67970,87920,103440,131100,0,0
768,44180,"Springfield, MO",4,MO,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,190,10.5,0.913,0.85,0,0,33.85,70410,1.5,19.73,24.46,31.64,40.23,48.43,41040,50870,65810,83680,100740,0,0
769,44700,"Stockton-Lodi, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,12,0.33,0.31,0,0,56.13,116760,4.3,29.22,36.35,52.72,77.8,89.76,60790,75610,109650,161820,186690,0,0
